time,open,high,low,close,volume
2024-03-15 00:00:00+00:00,1.08827,1.08845,1.08814,1.08819,718
2024-03-15 00:05:00+00:00,1.08819,1.08822,1.08789,1.08794,613
2024-03-15 00:10:00+00:00,1.08794,1.088,1.08782,1.08782,409
2024-03-15 00:15:00+00:00,1.08782,1.088,1.08782,1.08796,431
2024-03-15 00:20:00+00:00,1.08796,1.08798,1.08783,1.08785,464
2024-03-15 00:25:00+00:00,1.08785,1.08789,1.08769,1.08769,290
2024-03-15 00:30:00+00:00,1.08769,1.08792,1.08769,1.08784,466
2024-03-15 00:35:00+00:00,1.08784,1.08791,1.08783,1.08783,235
2024-03-15 00:40:00+00:00,1.08783,1.08784,1.08771,1.08779,394
2024-03-15 00:45:00+00:00,1.08779,1.08781,1.0876,1.08761,266
2024-03-15 00:50:00+00:00,1.08761,1.08815,1.08761,1.08812,868
2024-03-15 00:55:00+00:00,1.08812,1.08812,1.08772,1.08779,596
2024-03-15 01:00:00+00:00,1.08779,1.08783,1.08767,1.08773,509
2024-03-15 01:05:00+00:00,1.08773,1.08788,1.08767,1.08768,431
2024-03-15 01:10:00+00:00,1.08768,1.08782,1.08767,1.08774,329
2024-03-15 01:15:00+00:00,1.08774,1.08784,1.08769,1.0878,521
2024-03-15 01:20:00+00:00,1.0878,1.08782,1.08755,1.08767,416
2024-03-15 01:25:00+00:00,1.08767,1.08782,1.08765,1.08772,283
2024-03-15 01:30:00+00:00,1.08772,1.08784,1.08772,1.0878,323
2024-03-15 01:35:00+00:00,1.0878,1.0878,1.08767,1.08773,396
2024-03-15 01:40:00+00:00,1.08773,1.08783,1.0876,1.0878,407
2024-03-15 01:45:00+00:00,1.0878,1.0879,1.08773,1.08788,421
2024-03-15 01:50:00+00:00,1.08788,1.088,1.08783,1.08794,357
2024-03-15 01:55:00+00:00,1.08794,1.08802,1.08765,1.08771,440
2024-03-15 02:00:00+00:00,1.08771,1.08772,1.08756,1.0876,385
2024-03-15 02:05:00+00:00,1.0876,1.08764,1.08756,1.08761,413
2024-03-15 02:10:00+00:00,1.08761,1.08766,1.08751,1.08752,381
2024-03-15 02:15:00+00:00,1.08752,1.08757,1.08747,1.08756,523
2024-03-15 02:20:00+00:00,1.08756,1.08762,1.08752,1.08759,313
2024-03-15 02:25:00+00:00,1.08759,1.08766,1.08748,1.08753,242
2024-03-15 02:30:00+00:00,1.08753,1.08759,1.08744,1.08747,297
2024-03-15 02:35:00+00:00,1.08747,1.08752,1.08743,1.08748,196
2024-03-15 02:40:00+00:00,1.08748,1.08748,1.08728,1.08737,298
2024-03-15 02:45:00+00:00,1.08737,1.08752,1.08736,1.08747,286
2024-03-15 02:50:00+00:00,1.08747,1.08752,1.0874,1.08749,318
2024-03-15 02:55:00+00:00,1.08749,1.0875,1.08731,1.08732,437
2024-03-15 03:00:00+00:00,1.08732,1.08747,1.08732,1.08742,533
2024-03-15 03:05:00+00:00,1.08742,1.08746,1.08737,1.08737,385
2024-03-15 03:10:00+00:00,1.08737,1.08752,1.08737,1.0875,270
2024-03-15 03:15:00+00:00,1.0875,1.08752,1.08742,1.08743,378
2024-03-15 03:20:00+00:00,1.08743,1.08768,1.08742,1.08766,426
2024-03-15 03:25:00+00:00,1.08766,1.08766,1.08761,1.08762,354
2024-03-15 03:30:00+00:00,1.08762,1.08781,1.08762,1.08767,430
2024-03-15 03:35:00+00:00,1.08767,1.08776,1.08767,1.08772,299
2024-03-15 03:40:00+00:00,1.08772,1.08776,1.08767,1.08774,298
2024-03-15 03:45:00+00:00,1.08774,1.08776,1.08766,1.08766,295
2024-03-15 03:50:00+00:00,1.08766,1.08774,1.08766,1.0877,231
2024-03-15 03:55:00+00:00,1.0877,1.08773,1.08767,1.08769,238
2024-03-15 04:00:00+00:00,1.08769,1.08769,1.0876,1.08767,297
2024-03-15 04:05:00+00:00,1.08767,1.08769,1.08762,1.08768,189
2024-03-15 04:10:00+00:00,1.08768,1.08772,1.08763,1.08768,218
2024-03-15 04:15:00+00:00,1.08768,1.08769,1.08766,1.08767,192
2024-03-15 04:20:00+00:00,1.08767,1.08768,1.08754,1.08756,326
2024-03-15 04:25:00+00:00,1.08756,1.08764,1.08755,1.08763,217
2024-03-15 04:30:00+00:00,1.08763,1.08763,1.0876,1.08762,150
2024-03-15 04:35:00+00:00,1.08762,1.08762,1.08757,1.08757,159
2024-03-15 04:40:00+00:00,1.08757,1.08763,1.08756,1.08763,279
2024-03-15 04:45:00+00:00,1.08763,1.08763,1.08752,1.08757,260
2024-03-15 04:50:00+00:00,1.08757,1.08762,1.08751,1.08758,411
2024-03-15 04:55:00+00:00,1.08758,1.08768,1.08748,1.08765,394
2024-03-15 05:00:00+00:00,1.08765,1.08773,1.08762,1.08762,320
2024-03-15 05:05:00+00:00,1.08762,1.08764,1.08753,1.08764,303
2024-03-15 05:10:00+00:00,1.08764,1.08764,1.0875,1.08753,378
2024-03-15 05:15:00+00:00,1.08753,1.0876,1.08748,1.08751,284
2024-03-15 05:20:00+00:00,1.08751,1.08757,1.08748,1.0875,200
2024-03-15 05:25:00+00:00,1.0875,1.08753,1.08743,1.08743,197
2024-03-15 05:30:00+00:00,1.08743,1.08745,1.08739,1.08744,260
